id,dag_id,execution_date,state,run_id,external_trigger,conf,end_date,start_date,run_type,last_scheduling_decision,dag_hash,creating_job_id
950,DAG_damage_return_etl2,"2021-01-06 06:30:00.000000",success,scheduled__2021-01-06T06:30:00+00:00,0,...,"2021-01-06 06:52:22.450995","2021-01-06 06:52:20.455739",scheduled,"2021-01-06 06:52:22.447883",da9e47668ce045243bfbc955612039e9,781
951,DAG_damage_return_etl2,"2021-01-06 06:35:00.000000",success,scheduled__2021-01-06T06:35:00+00:00,0,...,"2021-01-06 06:52:24.261861","2021-01-06 06:52:22.391765",scheduled,"2021-01-06 06:52:24.258809",da9e47668ce045243bfbc955612039e9,781
952,DAG_damage_return_etl2,"2021-01-06 06:40:00.000000",success,scheduled__2021-01-06T06:40:00+00:00,0,...,"2021-01-06 06:52:25.970647","2021-01-06 06:52:24.231632",scheduled,"2021-01-06 06:52:25.967381",da9e47668ce045243bfbc955612039e9,781
953,DAG_damage_return_etl2,"2021-01-06 06:45:00.000000",success,scheduled__2021-01-06T06:45:00+00:00,0,...,"2021-01-06 06:52:28.675495","2021-01-06 06:52:25.911859",scheduled,"2021-01-06 06:52:28.666486",da9e47668ce045243bfbc955612039e9,781
955,DAG_damage_return_etl2,"2021-01-06 06:50:00.000000",success,scheduled__2021-01-06T06:50:00+00:00,0,...,"2021-01-06 06:55:05.794203","2021-01-06 06:55:03.076920",scheduled,"2021-01-06 06:55:05.785883",da9e47668ce045243bfbc955612039e9,781
956,DAG_damage_return_etl2,"2021-01-06 06:55:00.000000",success,scheduled__2021-01-06T06:55:00+00:00,0,...,"2021-01-06 07:00:02.573729","2021-01-06 07:00:00.804736",scheduled,"2021-01-06 07:00:02.570453",da9e47668ce045243bfbc955612039e9,781
1031,DAG_damage_return_etl2,"2021-01-06 09:54:20.629364",success,manual__2021-01-06T09:54:20.629364+00:00,1,...,"2021-01-06 09:54:48.924613","2021-01-06 09:54:20.642946",manual,"2021-01-06 09:54:48.915760",da9e47668ce045243bfbc955612039e9,NULL
1033,DAG_damage_return_etl2,"2021-01-06 09:59:48.227276",success,string,1,...,"2021-01-06 10:07:17.890275","2021-01-06 09:59:48.229816",manual,"2021-01-06 10:07:17.878015",da9e47668ce045243bfbc955612039e9,NULL
1034,DAG_damage_return_etl2,"2021-01-06 09:55:00.000000",success,scheduled__2021-01-06T09:55:00+00:00,0,...,"2021-01-06 10:07:17.862491","2021-01-06 10:07:11.895277",scheduled,"2021-01-06 10:07:17.856887",da9e47668ce045243bfbc955612039e9,983
1035,DAG_damage_return_etl2,"2021-01-06 10:00:00.000000",success,scheduled__2021-01-06T10:00:00+00:00,0,...,"2021-01-06 10:07:21.154484","2021-01-06 10:07:17.812328",scheduled,"2021-01-06 10:07:21.146588",da9e47668ce045243bfbc955612039e9,983
